date,sector,sentiment_lagged
2020-04-06,Consumer,-0.07118
2020-04-06,Energy,0.225
2020-04-06,Financials,0.16426
2020-04-06,Healthcare,0.38068
2020-04-06,Industrials,-0.44523999999999997
2020-04-06,Materials,0.051539999999999996
2020-04-06,RealEstate,0.11176
2020-04-06,Tech,-0.22336
2020-04-06,Utilities,0.30063999999999996
2020-04-07,Comm,0.67892
2020-04-07,Consumer,0.79278
2020-04-07,Energy,0.41365999999999997
2020-04-07,Financials,0.8351200000000001
2020-04-07,Healthcare,0.71094
2020-04-07,Industrials,0.32706
2020-04-07,Materials,0.16888
2020-04-07,RealEstate,0.26738
2020-04-07,Tech,0.8233599999999999
2020-04-07,Utilities,0.68472
2020-04-08,Comm,0.42562
2020-04-08,Consumer,0.5885199999999999
2020-04-08,Energy,0.8558199999999999
2020-04-08,Financials,0.57982
2020-04-08,Healthcare,0.33952
2020-04-08,Industrials,0.62404
2020-04-08,Materials,0.5044000000000001
2020-04-08,RealEstate,0.18975999999999998
2020-04-08,Tech,0.3881
2020-04-08,Utilities,0.4968
2020-04-09,Comm,0.2002
2020-04-09,Consumer,0.44933999999999996
2020-04-09,Energy,0.8452999999999999
2020-04-09,Financials,0.36084
2020-04-09,Healthcare,0.44559999999999994
2020-04-09,Industrials,0.64234
2020-04-09,Materials,0.6613
2020-04-09,RealEstate,0.50156
2020-04-09,Tech,0.5622999999999999
2020-04-09,Utilities,0.37392
2020-04-13,Comm,-0.10400000000000001
2020-04-13,Consumer,0.76436
2020-04-13,Energy,0.79682
2020-04-13,Financials,0.66122
2020-04-13,Healthcare,0.14218
2020-04-13,Industrials,0.22104
2020-04-13,Materials,0.5393800000000001
2020-04-13,RealEstate,0.6783
2020-04-13,Tech,0.27988
2020-04-13,Utilities,0.6834
2020-04-14,Comm,-0.11445999999999998
2020-04-14,Consumer,-0.08993999999999998
2020-04-14,Energy,0.42813999999999997
2020-04-14,Financials,0.31084
2020-04-14,Healthcare,0.44382
2020-04-14,Industrials,0.06776000000000001
2020-04-14,Materials,0.31146
2020-04-14,RealEstate,-0.18860000000000002
2020-04-14,Tech,0.44824
2020-04-14,Utilities,0.06723999999999997
2020-04-15,Comm,0.6128
2020-04-15,Consumer,0.63334
2020-04-15,Energy,0.0639
2020-04-15,Financials,0.69028
2020-04-15,Healthcare,0.40974000000000005
2020-04-15,Industrials,0.68048
2020-04-15,Materials,0.11523999999999998
2020-04-15,RealEstate,0.46602
2020-04-15,Tech,0.9439
2020-04-15,Utilities,0.3823
2020-04-16,Comm,0.48175999999999997
2020-04-16,Consumer,0.30998000000000003
2020-04-16,Energy,0.46629999999999994
2020-04-16,Financials,0.72886
2020-04-16,Healthcare,-0.0005400000000000072
2020-04-16,Industrials,0.11903999999999999
2020-04-16,Materials,-0.024040000000000016
2020-04-16,RealEstate,-0.11152000000000002
2020-04-16,Tech,0.5274
2020-04-16,Utilities,0.21946000000000004
2020-04-17,Comm,0.4687
2020-04-17,Consumer,0.5797399999999999
2020-04-17,Energy,-0.12902000000000002
2020-04-17,Financials,0.25556
2020-04-17,Healthcare,0.84742
2020-04-17,Industrials,0.17456000000000002
2020-04-17,Materials,0.21183999999999997
2020-04-17,RealEstate,0.037860000000000005
2020-04-17,Tech,0.91564
2020-04-17,Utilities,0.5233399999999999
2020-04-20,Comm,0.18836
